index,Star,Scan,JD,CHARA_num,wl,v2,v2c,v2sig,v2exp,flux,T1,T2,File,sp_freq,sp_freq_sample,pa,corr_v2,corr_v2c,corr_v2sig,cal_v2,cal_v2sig
48,HD_181276,51,6686.0024,244220,0.7935,0.000625,0.000314,0.000147,0.9605,8412.5,W1,W2,../newRuns/180422/180422_51_HD_181276.pav,133146313.91775636,133146313.91775636,156.2450619322932,0.0007607781444265121,0.0003269130661114003,0.00015304528891202498,0.0039020157064002616,0.0007888603611722741
49,HD_181276,51,6686.0024,244220,0.7857,0.000649,0.000499,0.000141,0.9617,8831.6,W1,W2,../newRuns/180422/180422_51_HD_181276.pav,134468117.72144544,134468117.72144544,156.2450619322932,0.0007912265703781151,0.0005188728293646668,0.0001466153686180722,0.004082614717279837,0.0007606465786699955
50,HD_181276,51,6686.0024,244220,0.7779,0.000968,0.000419,0.00014,0.9627,9082.9,W1,W2,../newRuns/180422/180422_51_HD_181276.pav,135816428.96739897,135816428.96739897,156.2450619322932,0.0011823024449522323,0.00043523423704165367,0.0001454243274124857,0.006257572116452205,0.0007800268499472005
51,HD_181276,51,6686.0024,244220,0.7706,0.001171,0.000862,0.000164,0.9624,8980.2,W1,W2,../newRuns/180422/180422_51_HD_181276.pav,137103036.7165062,137103036.7165062,156.2450619322932,0.001434656775104245,0.0008956774729842062,0.00017040731504571903,0.007204697574651063,0.0008674354914897119
52,HD_181276,51,6686.0024,244220,0.7633,0.001415,0.000784,0.000154,0.9614,9310.2,W1,W2,../newRuns/180422/180422_51_HD_181276.pav,138414254.02035853,138414254.02035853,156.2450619322932,0.0017403248179949586,0.0008154774287497399,0.00016018306636155606,0.008645509184349828,0.000811640067976464
53,HD_181276,51,6686.0024,244220,0.7564,0.001496,0.000881,0.000146,0.9606,9869.7,W1,W2,../newRuns/180422/180422_51_HD_181276.pav,139676890.65803766,139676890.65803766,156.2450619322932,0.0018465282288039802,0.0009171351238809077,0.00015198834062044554,0.009319930407904535,0.0007853649336400354
54,HD_181276,51,6686.0024,244220,0.7496,0.001276,0.000817,0.000142,0.9601,10500.5,W1,W2,../newRuns/180422/180422_51_HD_181276.pav,140943970.24244887,140943970.24244887,156.2450619322932,0.0015801770351041632,0.0008509530257264869,0.00014790126028538695,0.008352191131667361,0.0007969823659750167
55,HD_181276,51,6686.0024,244220,0.7428,0.001429,0.000815,0.000147,0.9591,10521.6,W1,W2,../newRuns/180422/180422_51_HD_181276.pav,142234248.91456607,142234248.91456607,156.2450619322932,0.0017765225142237545,0.0008497549786257951,0.00015326868939630905,0.00864649715549606,0.0007614157010862873
56,HD_181276,51,6686.0024,244220,0.736,0.001659,0.000739,0.000155,0.9579,10884.0,W1,W2,../newRuns/180422/180422_51_HD_181276.pav,143548369.6925811,143548369.6925811,156.2450619322932,0.0020710296958798757,0.0007714792775863869,0.00016181229773462783,0.009901234603149935,0.0007915992548454554
57,HD_181276,51,6686.0024,244220,0.7292,0.001502,0.000789,0.000139,0.9568,11273.7,W1,W2,../newRuns/180422/180422_51_HD_181276.pav,144886999.58000505,144886999.58000505,156.2450619322932,0.001882788603528765,0.000824623745819398,0.00014527591973244146,0.008942936867020026,0.000704075399287478
58,HD_181276,51,6686.0024,244220,0.7223,0.001621,0.000747,0.000138,0.9561,11764.4,W1,W2,../newRuns/180422/180422_51_HD_181276.pav,146271078.62901795,146271078.62901795,156.2450619322932,0.002039732051546001,0.0007812990272983998,0.000144336366488861,0.010489416474133388,0.0007618568010099232
59,HD_181276,51,6686.0024,244220,0.7159,0.00178,0.000814,0.000149,0.9554,11663.2,W1,W2,../newRuns/180422/180422_51_HD_181276.pav,147578712.2415696,147578712.2415696,156.2450619322932,0.0022480240909765895,0.0008519991626543856,0.00015595562068243665,0.010857340141473945,0.000772647572895714
60,HD_181276,51,6686.0024,244220,0.7095,0.001857,0.001172,0.00016,0.9551,12172.5,W1,W2,../newRuns/180422/180422_51_HD_181276.pav,148909936.70717362,148909936.70717362,156.2450619322932,0.002353063119683763,0.0012270966390953827,0.0001675217254737724,0.012731691823235587,0.0009311221312892007
61,HD_181276,51,6686.0024,244220,0.7035,0.002297,0.001008,0.000145,0.9551,12522.7,W1,W2,../newRuns/180422/180422_51_HD_181276.pav,150179957.48932433,150179957.48932433,156.2450619322932,0.00291897708938782,0.001055386870484766,0.00015181656371060623,0.017044824485775323,0.0009417621632881363
62,HD_181276,51,6686.0024,244220,0.6977,0.001861,0.000884,0.000135,0.9551,12644.4,W1,W2,../newRuns/180422/180422_51_HD_181276.pav,151428407.759409,151428407.759409,156.2450619322932,0.0023716423317694598,0.0009255575332425925,0.00014134645586849544,0.013483958870569407,0.0008430832974954529
63,HD_181276,51,6686.0024,244220,0.6918,0.001923,0.001111,0.000159,0.9544,11896.7,W1,W2,../newRuns/180422/180422_51_HD_181276.pav,152719861.36707094,152719861.36707094,156.2450619322932,0.002459703888122971,0.0011640821458507964,0.00016659681475272422,0.011839015696816002,0.0008288958342715072
64,HD_181276,51,6686.0024,244220,0.686,0.002374,0.001195,0.000147,0.9538,11990.1,W1,W2,../newRuns/180422/180422_51_HD_181276.pav,154011078.85384792,154011078.85384792,156.2450619322932,0.0030474966794072824,0.0012528832040260014,0.0001541203606626127,0.014219290592552638,0.0007588239797732978
65,HD_181276,51,6686.0024,244220,0.6804,0.00239,0.001195,0.000142,0.9531,12105.0,W1,W2,../newRuns/180422/180422_51_HD_181276.pav,155278659.74976435,155278659.74976435,156.2450619322932,0.0030792736792737683,0.001253803378449271,0.00014898751442660792,0.01408554475220691,0.0007210083253406926
66,HD_181276,51,6686.0024,244220,0.675,0.002395,0.001159,0.000146,0.9524,12115.9,W1,W2,../newRuns/180422/180422_51_HD_181276.pav,156520889.02776247,156520889.02776247,156.2450619322932,0.0030968774620097877,0.0012169256614867703,0.00015329693406131877,0.014311738817423345,0.0007511870636770959
67,HD_181276,51,6686.0024,244220,0.6697,0.002892,0.001533,0.000176,0.951,11054.0,W1,W2,../newRuns/180422/180422_51_HD_181276.pav,157759593.98796427,157759593.98796427,156.2450619322932,0.0037558197188540497,0.00161198738170347,0.000185068349106204,0.01554837806780339,0.0008185174815880772
68,HD_181276,51,6686.0024,244220,0.6643,0.002786,0.001258,0.000183,0.9495,10810.3,W1,W2,../newRuns/180422/180422_51_HD_181276.pav,159041999.23790407,159041999.23790407,156.2450619322932,0.0036347342296710137,0.0013249078462348603,0.00019273301737756713,0.015352940522207982,0.0008604388789488996
69,HD_181276,51,6686.0024,244220,0.659,0.002344,0.001269,0.000183,0.9477,10651.2,W1,W2,../newRuns/180422/180422_51_HD_181276.pav,160321092.70673698,160321092.70673698,156.2450619322932,0.0030730849351733066,0.0013390313390313389,0.00019309908198797087,0.013401800892651099,0.0008757440474567623
70,HD_181276,51,6686.0024,244220,0.6536,0.002047,0.001237,0.000187,0.9458,10563.4,W1,W2,../newRuns/180422/180422_51_HD_181276.pav,161645654.9781819,161645654.9781819,156.2450619322932,0.0026974789857146498,0.001307887502643265,0.00019771621907379994,0.011809757367212773,0.0008914107730438582
71,HD_181276,51,6686.0024,244220,0.6485,0.003026,0.001496,0.000234,0.9432,9570.7,W1,W2,../newRuns/180422/180422_51_HD_181276.pav,162916885.264055,162916885.264055,156.2450619322932,0.0040105903735116665,0.0015860899067005937,0.0002480916030534351,0.015968431227084398,0.0010314434170433976
72,HD_181276,51,6686.0024,244220,0.6436,0.003187,0.001498,0.000255,0.9408,9421.7,W1,W2,../newRuns/180422/180422_51_HD_181276.pav,164157240.66771236,164157240.66771236,156.2450619322932,0.004247213946597606,0.0015922619047619047,0.000271045918367347,0.017432302167498765,0.0011573364471330258
73,HD_181276,51,6686.0024,244220,0.6389,0.003088,0.001422,0.000264,0.9365,9190.4,W1,W2,../newRuns/180422/180422_51_HD_181276.pav,165364845.9754886,165364845.9754886,156.2450619322932,0.004146054614247311,0.0015184196476241325,0.0002819006940736786,0.016686196900419607,0.001172578848989473
74,HD_181276,51,6686.0024,244220,0.6345,0.002685,0.001245,0.000258,0.9285,8832.6,W1,W2,../newRuns/180422/180422_51_HD_181276.pav,166511584.07208776,166511584.07208776,156.2450619322932,0.0036459944307548797,0.0013408723747980614,0.00027786752827140546,0.014684056760120894,0.0011461942335219298
