#M z y MLa eta sup_ad
2.000000000000000000e+00 1.499999999999999944e-02 2.500000000000000000e-01 1.600000000000000089e+00 1.199999999999999956e-01 0.000000000000000000e+00
2.399999999999999911e+00 2.249999999999999917e-02 2.999999999999999889e-01 1.949999999999999956e+00 2.099999999999999922e-01 1.250000000000000069e-02
2.599999999999999645e+00 1.874999999999999931e-02 2.750000000000000222e-01 1.774999999999999911e+00 2.550000000000000044e-01 6.250000000000000347e-03
2.200000000000000178e+00 2.624999999999999903e-02 3.249999999999999556e-01 2.125000000000000000e+00 1.649999999999999800e-01 1.875000000000000278e-02
2.299999999999999822e+00 2.062499999999999750e-02 3.125000000000000000e-01 2.212499999999999911e+00 1.875000000000000000e-01 9.375000000000001388e-03
2.699999999999999734e+00 2.812499999999999722e-02 2.625000000000000111e-01 1.862500000000000044e+00 2.774999999999999689e-01 2.187500000000000208e-02
2.500000000000000000e+00 1.687500000000000111e-02 3.374999999999999667e-01 2.037500000000000089e+00 2.324999999999999845e-01 3.125000000000000173e-03
2.100000000000000089e+00 2.437500000000000083e-02 2.874999999999999778e-01 1.687500000000000000e+00 1.424999999999999878e-01 1.562500000000000000e-02
2.149999999999999911e+00 1.968750000000000014e-02 3.437500000000000000e-01 1.906250000000000000e+00 2.212500000000000022e-01 1.093750000000000104e-02
2.549999999999999822e+00 2.718749999999999986e-02 2.937500000000000111e-01 2.256249999999999645e+00 1.312500000000000056e-01 2.343750000000000000e-02
2.750000000000000000e+00 1.593750000000000028e-02 3.187499999999999778e-01 1.731249999999999956e+00 1.762499999999999900e-01 4.687500000000000694e-03
2.350000000000000089e+00 2.343750000000000000e-02 2.687499999999999889e-01 2.081249999999999822e+00 2.662499999999999867e-01 1.718750000000000139e-02
2.250000000000000000e+00 1.781249999999999847e-02 2.812500000000000000e-01 1.993749999999999911e+00 2.887499999999999512e-01 1.562500000000000087e-03
2.649999999999999911e+00 2.531249999999999820e-02 3.312499999999999889e-01 1.643750000000000044e+00 1.987499999999999822e-01 1.406250000000000035e-02
2.449999999999999734e+00 2.156249999999999833e-02 2.562499999999999778e-01 2.168749999999999734e+00 1.537499999999999978e-01 7.812500000000000000e-03
2.049999999999999822e+00 2.906249999999999806e-02 3.062499999999999667e-01 1.818750000000000089e+00 2.437499999999999944e-01 2.031250000000000069e-02
2.075000000000000178e+00 2.203124999999999875e-02 2.968750000000000000e-01 2.059374999999999734e+00 1.706249999999999989e-01 1.328125000000000139e-02
2.474999999999999645e+00 2.953124999999999847e-02 3.468749999999999889e-01 1.709375000000000089e+00 2.606249999999999956e-01 7.812500000000000434e-04
2.674999999999999822e+00 1.828124999999999889e-02 2.718749999999999778e-01 2.234375000000000000e+00 2.156250000000000111e-01 1.953125000000000000e-02
2.274999999999999911e+00 2.578124999999999861e-02 3.218749999999999667e-01 1.884374999999999911e+00 1.256249999999999867e-01 7.031250000000000173e-03
2.375000000000000000e+00 1.640625000000000069e-02 3.343749999999999778e-01 1.796875000000000000e+00 1.481250000000000067e-01 2.265625000000000278e-02
2.774999999999999911e+00 2.390624999999999695e-02 2.843749999999999889e-01 2.146874999999999645e+00 2.381249999999999756e-01 1.015625000000000035e-02
2.574999999999999734e+00 2.015625000000000056e-02 3.093749999999999556e-01 1.621875000000000178e+00 2.831249999999999600e-01 1.640625000000000069e-02
2.174999999999999822e+00 2.765625000000000028e-02 2.593750000000000222e-01 1.971874999999999822e+00 1.931249999999999911e-01 3.906250000000000000e-03
2.125000000000000000e+00 1.734374999999999806e-02 3.031249999999999778e-01 2.190624999999999822e+00 2.718749999999999778e-01 2.421875000000000069e-02
2.524999999999999911e+00 2.484374999999999778e-02 2.531249999999999889e-01 1.840624999999999956e+00 1.818750000000000089e-01 1.171875000000000000e-02
2.724999999999999645e+00 2.109375000000000139e-02 3.281250000000000000e-01 2.015625000000000000e+00 1.368749999999999967e-01 1.796875000000000208e-02
2.325000000000000178e+00 2.859375000000000111e-02 2.781250000000000111e-01 1.665625000000000133e+00 2.268749999999999933e-01 5.468750000000000520e-03
2.225000000000000089e+00 1.921874999999999972e-02 2.656250000000000000e-01 1.753125000000000044e+00 2.493749999999999856e-01 1.484375000000000104e-02
2.625000000000000000e+00 2.671874999999999944e-02 3.156249999999999889e-01 2.103124999999999911e+00 1.593749999999999889e-01 2.343750000000000347e-03
2.424999999999999822e+00 1.546874999999999986e-02 2.906250000000000222e-01 1.928125000000000089e+00 2.043749999999999734e-01 2.109375000000000139e-02
2.024999999999999911e+00 2.296874999999999958e-02 3.406249999999999556e-01 2.278124999999999734e+00 2.943749999999999978e-01 8.593750000000000694e-03
2.037500000000000089e+00 1.898437499999999778e-02 3.203125000000000000e-01 1.982812499999999867e+00 1.453124999999999833e-01 1.992187500000000208e-02
2.437500000000000000e+00 2.648437499999999750e-02 2.703125000000000111e-01 1.632812500000000000e+00 2.353124999999999800e-01 7.421875000000000520e-03
2.637499999999999734e+00 1.523437499999999965e-02 3.453124999999999667e-01 2.157812499999999911e+00 2.803124999999999645e-01 1.367187500000000000e-02
2.237499999999999822e+00 2.273437500000000111e-02 2.953124999999999778e-01 1.807812500000000044e+00 1.903124999999999956e-01 1.171875000000000173e-03
2.337499999999999911e+00 1.710937499999999958e-02 2.578125000000000000e-01 1.895312499999999956e+00 1.678125000000000033e-01 1.679687499999999931e-02
2.737499999999999822e+00 2.460937499999999931e-02 3.078124999999999889e-01 2.245312499999999822e+00 2.578125000000000000e-01 4.296875000000000347e-03
2.537499999999999645e+00 2.085937499999999944e-02 2.828125000000000222e-01 1.720312500000000133e+00 2.128124999999999878e-01 2.304687500000000139e-02
2.137500000000000178e+00 2.835937499999999917e-02 3.328124999999999556e-01 2.070312500000000000e+00 1.228124999999999911e-01 1.054687500000000069e-02
2.187500000000000000e+00 1.617187499999999875e-02 2.765624999999999889e-01 2.289062500000000000e+00 2.465624999999999900e-01 1.835937500000000069e-02
2.587499999999999911e+00 2.367187499999999847e-02 3.265624999999999778e-01 1.939062499999999911e+00 1.565624999999999933e-01 5.859375000000000000e-03
2.787499999999999645e+00 1.992187499999999861e-02 2.515625000000000222e-01 2.114062499999999734e+00 2.015624999999999778e-01 2.460937500000000278e-02
2.387499999999999734e+00 2.742187499999999833e-02 3.015625000000000111e-01 1.764062500000000089e+00 2.915625000000000022e-01 1.210937500000000035e-02
2.287500000000000089e+00 2.179687500000000028e-02 3.390624999999999889e-01 1.676562500000000178e+00 2.690624999999999822e-01 2.148437500000000000e-02
2.687500000000000000e+00 2.929687500000000000e-02 2.890625000000000000e-01 2.026562499999999822e+00 1.790624999999999856e-01 8.984375000000001041e-03
2.487499999999999822e+00 1.804687500000000042e-02 3.140624999999999667e-01 1.851562500000000000e+00 1.340625000000000011e-01 1.523437500000000139e-02
2.087499999999999911e+00 2.554687499999999667e-02 2.640624999999999778e-01 2.201562499999999645e+00 2.240624999999999978e-01 2.734375000000000260e-03
2.062500000000000000e+00 1.851562500000000083e-02 3.296874999999999667e-01 1.698437500000000044e+00 1.959374999999999867e-01 6.640625000000000694e-03
2.462499999999999911e+00 2.601562500000000056e-02 2.796874999999999778e-01 2.048437499999999911e+00 2.859374999999999556e-01 1.914062500000000139e-02
2.662499999999999645e+00 2.226562499999999722e-02 3.046875000000000000e-01 1.873437500000000089e+00 2.409374999999999711e-01 3.906250000000000217e-04
2.262500000000000178e+00 2.976562499999999695e-02 2.546875000000000111e-01 2.223437499999999734e+00 1.509375000000000022e-01 1.289062500000000104e-02
2.362499999999999822e+00 2.039062499999999903e-02 2.921874999999999889e-01 2.135937499999999822e+00 1.284374999999999822e-01 3.515625000000000087e-03
2.762499999999999734e+00 2.789062499999999875e-02 3.421874999999999778e-01 1.785937499999999956e+00 2.184375000000000067e-01 1.601562500000000208e-02
2.562500000000000000e+00 1.664062499999999917e-02 2.671875000000000222e-01 1.960937500000000000e+00 2.634374999999999911e-01 9.765625000000000000e-03
2.162500000000000089e+00 2.414062499999999889e-02 3.171874999999999556e-01 1.610937500000000133e+00 1.734374999999999944e-01 2.226562500000000069e-02
2.112499999999999822e+00 2.132812499999999986e-02 2.734375000000000000e-01 1.829687499999999911e+00 2.971874999999999933e-01 5.078125000000000173e-03
2.512499999999999734e+00 2.882812499999999958e-02 3.234374999999999889e-01 2.179687500000000000e+00 2.071874999999999967e-01 1.757812500000000000e-02
2.712499999999999911e+00 1.757812500000000000e-02 2.984374999999999667e-01 1.654687500000000089e+00 1.621874999999999845e-01 1.132812500000000139e-02
2.312500000000000000e+00 2.507812499999999972e-02 3.484374999999999556e-01 2.004687500000000178e+00 2.521875000000000089e-01 2.382812500000000208e-02
2.212499999999999911e+00 1.570312499999999833e-02 3.109374999999999778e-01 2.092187500000000089e+00 2.296874999999999889e-01 8.203125000000000347e-03
2.612499999999999822e+00 2.320312499999999806e-02 2.609374999999999889e-01 1.742187500000000000e+00 1.396874999999999922e-01 2.070312500000000278e-02
2.412500000000000089e+00 1.945312499999999820e-02 3.359375000000000000e-01 2.267187499999999911e+00 1.846875000000000044e-01 1.953125000000000000e-03
2.012500000000000178e+00 2.695312500000000139e-02 2.859375000000000111e-01 1.917187500000000044e+00 2.746874999999999734e-01 1.445312500000000069e-02
2.018749999999999822e+00 2.097656250000000042e-02 3.320312500000000000e-01 2.185156249999999911e+00 2.367187499999999778e-01 1.660156250000000000e-02
2.418749999999999734e+00 2.847656249999999667e-02 2.820312500000000111e-01 1.835156250000000044e+00 1.467187500000000089e-01 4.101562500000000173e-03
2.618749999999999911e+00 1.722656250000000056e-02 3.070312499999999778e-01 2.010156250000000089e+00 1.917187499999999933e-01 2.285156250000000208e-02
2.218750000000000000e+00 2.472656250000000028e-02 2.570312499999999889e-01 1.660156250000000000e+00 2.817187500000000178e-01 1.035156250000000139e-02
2.318750000000000089e+00 1.535156249999999889e-02 2.945312499999999667e-01 1.747656249999999911e+00 2.592187499999999978e-01 1.972656250000000278e-02
2.718750000000000000e+00 2.285156249999999861e-02 3.445312499999999556e-01 2.097656250000000000e+00 1.692187500000000011e-01 7.226562500000000347e-03
2.518749999999999822e+00 1.910156249999999875e-02 2.695312500000000000e-01 1.922656249999999956e+00 1.242187499999999889e-01 1.347656250000000069e-02
2.118749999999999911e+00 2.660156249999999847e-02 3.195312499999999889e-01 2.272656249999999822e+00 2.142187499999999856e-01 9.765625000000000000e-04
2.168750000000000178e+00 1.816406249999999792e-02 2.632812500000000222e-01 2.053906249999999822e+00 1.579687499999999911e-01 2.128906250000000069e-02
2.568749999999999645e+00 2.566406250000000111e-02 3.132812499999999556e-01 1.703906249999999956e+00 2.479687499999999878e-01 8.789062500000000000e-03
2.768749999999999822e+00 2.191406249999999778e-02 2.882812499999999889e-01 2.228906249999999645e+00 2.929687500000000000e-01 1.503906250000000035e-02
2.368749999999999911e+00 2.941406249999999750e-02 3.382812499999999778e-01 1.878906250000000000e+00 2.029687499999999756e-01 2.539062500000000087e-03
2.268749999999999822e+00 2.003906249999999958e-02 3.007812500000000000e-01 1.791406250000000089e+00 1.804687499999999833e-01 1.816406250000000139e-02
2.668749999999999734e+00 2.753906249999999931e-02 2.507812500000000111e-01 2.141406249999999734e+00 2.704687499999999800e-01 5.664062500000000694e-03
2.468750000000000000e+00 1.628906249999999972e-02 3.257812499999999667e-01 1.616406250000000044e+00 2.254687499999999956e-01 2.441406250000000000e-02
2.068750000000000089e+00 2.378906249999999944e-02 2.757812499999999778e-01 1.966406249999999911e+00 1.354687499999999989e-01 1.191406250000000104e-02
2.093750000000000000e+00 1.675781250000000014e-02 3.164062500000000000e-01 1.944531249999999822e+00 2.873437500000000089e-01 3.320312500000000347e-03
2.493749999999999911e+00 2.425781249999999986e-02 2.664062500000000111e-01 2.294531249999999911e+00 1.973437499999999845e-01 1.582031249999999931e-02
2.693749999999999645e+00 2.050781250000000000e-02 3.414062499999999667e-01 1.769531250000000000e+00 1.523437500000000000e-01 9.570312500000000694e-03
2.293750000000000178e+00 2.800781249999999972e-02 2.914062499999999778e-01 2.119531249999999645e+00 2.423437499999999967e-01 2.207031250000000139e-02
2.393749999999999822e+00 2.238281249999999820e-02 2.539062500000000000e-01 2.032031249999999734e+00 2.198437500000000044e-01 6.445312500000000520e-03
2.793749999999999734e+00 2.988281250000000139e-02 3.039062499999999889e-01 1.682031250000000089e+00 1.298437500000000078e-01 1.894531250000000208e-02
2.593750000000000000e+00 1.863281249999999833e-02 2.789062500000000222e-01 2.207031250000000000e+00 1.748437499999999922e-01 1.953125000000000108e-04
2.193750000000000089e+00 2.613281249999999806e-02 3.289062499999999556e-01 1.857031249999999911e+00 2.648437499999999889e-01 1.269531250000000000e-02
2.143749999999999822e+00 1.957031249999999917e-02 2.851562500000000000e-01 1.638281250000000133e+00 2.085937499999999944e-01 8.007812500000001041e-03
2.543749999999999734e+00 2.707031249999999889e-02 3.351562499999999889e-01 1.988281250000000000e+00 2.985937499999999911e-01 2.050781250000000000e-02
2.743749999999999911e+00 1.582031249999999931e-02 2.601562499999999778e-01 1.813281249999999956e+00 2.535937499999999512e-01 1.757812500000000043e-03
2.343750000000000000e+00 2.332031249999999903e-02 3.101562499999999667e-01 2.163281249999999822e+00 1.635937499999999822e-01 1.425781250000000139e-02
2.243749999999999911e+00 1.769531249999999750e-02 3.476562500000000000e-01 2.250781249999999734e+00 1.410937499999999900e-01 4.882812500000000000e-03
2.643749999999999822e+00 2.519531249999999722e-02 2.976562500000000111e-01 1.900781250000000089e+00 2.310937499999999867e-01 1.738281250000000069e-02
2.443750000000000089e+00 2.144531250000000083e-02 3.226562499999999778e-01 2.075781249999999911e+00 2.760937500000000266e-01 1.113281250000000035e-02
2.043750000000000178e+00 2.894531250000000056e-02 2.726562499999999889e-01 1.725781250000000044e+00 1.860937500000000022e-01 2.363281250000000278e-02
2.031250000000000000e+00 1.699218749999999861e-02 2.898437500000000111e-01 1.846093750000000089e+00 2.114062499999999900e-01 9.960937500000001041e-03
2.431249999999999911e+00 2.449218749999999833e-02 3.398437500000000000e-01 2.196093749999999734e+00 1.214062499999999933e-01 2.246093750000000000e-02
2.631249999999999645e+00 2.074218749999999847e-02 2.648437499999999889e-01 1.671093750000000044e+00 1.664062499999999778e-01 3.710937500000000260e-03
2.231250000000000178e+00 2.824218749999999820e-02 3.148437499999999778e-01 2.021093749999999911e+00 2.564062500000000022e-01 1.621093750000000139e-02
2.331249999999999822e+00 1.886718750000000028e-02 3.273437499999999889e-01 2.108593749999999822e+00 2.789062500000000222e-01 5.859375000000000867e-04
2.731249999999999734e+00 2.636718750000000000e-02 2.773437500000000000e-01 1.758593749999999956e+00 1.889062499999999978e-01 1.308593750000000035e-02
2.531250000000000000e+00 1.511718749999999868e-02 3.023437499999999667e-01 2.283593749999999645e+00 1.439062499999999856e-01 6.835937500000000000e-03
2.131250000000000089e+00 2.261718750000000014e-02 2.523437499999999778e-01 1.933593750000000000e+00 2.339062499999999822e-01 1.933593750000000069e-02
2.181249999999999911e+00 2.167968749999999931e-02 3.085937500000000000e-01 1.714843750000000000e+00 1.326562500000000033e-01 2.148437500000000173e-03
2.581249999999999822e+00 2.917968749999999903e-02 2.585937500000000111e-01 2.064843750000000089e+00 2.226562500000000000e-01 1.464843750000000000e-02
2.781250000000000000e+00 1.792968749999999944e-02 3.335937499999999667e-01 1.889843750000000044e+00 2.676562499999999845e-01 8.398437499999999653e-03
2.381250000000000089e+00 2.542968749999999917e-02 2.835937499999999778e-01 2.239843749999999911e+00 1.776562499999999878e-01 2.089843750000000208e-02
2.281250000000000000e+00 1.605468749999999778e-02 2.710937500000000222e-01 2.152343750000000000e+00 2.001562499999999800e-01 1.152343750000000069e-02
2.681249999999999911e+00 2.355468749999999750e-02 3.210937499999999556e-01 1.802343749999999911e+00 2.901562500000000044e-01 2.402343750000000139e-02
2.481249999999999734e+00 1.980468750000000111e-02 2.960937499999999889e-01 1.977343749999999956e+00 2.451562499999999922e-01 5.273437500000000347e-03
2.081249999999999822e+00 2.730468750000000083e-02 3.460937499999999778e-01 1.627343750000000089e+00 1.551562499999999956e-01 1.777343749999999931e-02
2.056249999999999911e+00 2.027343749999999806e-02 2.617187500000000000e-01 2.261718750000000000e+00 2.620312499999999933e-01 2.324218750000000069e-02
2.456249999999999822e+00 2.777343749999999778e-02 3.117187499999999889e-01 1.911718749999999911e+00 1.720312499999999967e-01 1.074218750000000000e-02
